Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1030748217892265984.txt,1,25,93.26,21.18,43.37,1.00,8.33,16.00,60.00,28.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,16.00,4.00,0.00,4.00,4.00,8.00,4.00,4.00,0.00,0.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,4.00,0.00,0.00,0.00,4.00,4.00,4.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,12.00,0.00,12.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,28.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00
1031032329383305216.txt,1,27,99.00,50.00,1.22,25.77,13.50,14.81,70.37,40.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,18.52,3.70,3.70,0.00,0.00,7.41,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,0.00,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00,7.41,0.00,0.00,3.70,3.70,0.00,7.41,0.00,7.41,0.00,7.41,0.00,0.00,0.00,3.70,0.00,3.70,0.00,3.70,0.00,0.00,0.00,22.22,11.11,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41
1031071209931395072.txt,1,27,66.94,64.46,4.97,25.77,13.50,22.22,77.78,48.15,18.52,7.41,0.00,0.00,0.00,0.00,7.41,11.11,11.11,7.41,7.41,0.00,3.70,3.70,7.41,7.41,7.41,0.00,3.70,0.00,14.81,7.41,7.41,0.00,3.70,0.00,11.11,0.00,0.00,0.00,0.00,7.41,0.00,0.00,3.70,0.00,0.00,3.70,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,3.70,3.70,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,22.22,11.11,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41
1031142194806059011.txt,1,23,98.23,50.00,9.25,25.77,11.50,21.74,56.52,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00,4.35,0.00,0.00,8.70,4.35,0.00,0.00,0.00,8.70,4.35,4.35,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,8.70,0.00,4.35,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,47.83,8.70,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.43
1031144856222093314.txt,1,18,93.26,71.09,23.51,98.27,18.00,16.67,55.56,27.78,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,16.67,0.00,5.56,5.56,0.00,0.00,5.56,5.56,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,11.11,0.00,16.67,0.00,5.56,11.11,0.00,0.00,5.56,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,16.67,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11
1031144987130359808.txt,1,19,93.26,70.08,19.27,97.58,19.00,15.79,52.63,26.32,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,15.79,0.00,5.26,5.26,0.00,0.00,5.26,5.26,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,10.53,0.00,15.79,0.00,5.26,10.53,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,15.79,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53
1031146061644095488.txt,1,18,93.26,71.09,23.51,98.27,18.00,16.67,55.56,27.78,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,16.67,0.00,5.56,5.56,0.00,0.00,5.56,5.56,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,11.11,0.00,16.67,0.00,5.56,11.11,0.00,0.00,5.56,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,16.67,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11
1031172447377084424.txt,1,21,93.26,68.29,2.82,1.00,21.00,19.05,61.90,14.29,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,9.52,0.00,0.00,4.76,0.00,4.76,4.76,4.76,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,4.76,0.00,0.00,0.00,4.76,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,4.76,4.76,0.00,9.52,9.52,0.00,0.00,0.00,0.00,9.52,0.00,9.52,0.00,0.00,0.00,19.05,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,9.52
1031469798704787456.txt,1,26,65.46,22.08,5.76,1.00,13.00,15.38,53.85,30.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,11.54,3.85,7.69,3.85,11.54,3.85,3.85,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,3.85,3.85,0.00,3.85,3.85,3.85,0.00,0.00,3.85,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,11.54,0.00,7.69,3.85,3.85,3.85,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,23.08,11.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,7.69
1031872686841053184.txt,1,23,98.23,80.77,80.16,1.00,23.00,26.09,56.52,17.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,4.35,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,4.35,0.00,13.04,0.00,0.00,0.00,0.00,13.04,8.70,0.00,0.00,8.70,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,13.04,0.00,13.04,0.00,8.70,0.00,0.00,0.00,4.35,0.00,4.35,0.00,4.35,0.00,0.00,0.00,39.13,8.70,4.35,4.35,0.00,0.00,0.00,4.35,4.35,4.35,0.00,8.70
1032304514911621122.txt,1,24,88.46,95.20,23.51,25.77,12.00,20.83,54.17,33.33,8.33,4.17,0.00,0.00,4.17,0.00,0.00,4.17,0.00,16.67,8.33,0.00,4.17,0.00,12.50,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,4.17,8.33,8.33,0.00,4.17,8.33,4.17,16.67,4.17,12.50,0.00,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,29.17,12.50,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50
1032377295116197888.txt,1,27,99.00,77.05,33.94,1.00,27.00,14.81,74.07,29.63,3.70,0.00,0.00,0.00,0.00,0.00,0.00,3.70,18.52,7.41,0.00,0.00,0.00,0.00,7.41,3.70,0.00,3.70,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,7.41,3.70,3.70,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,3.70,0.00,0.00,3.70,3.70,0.00,14.81,3.70,11.11,0.00,14.81,0.00,0.00,7.41,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,37.04,7.41,11.11,3.70,0.00,0.00,0.00,3.70,3.70,0.00,0.00,7.41
1033810483202207745.txt,1,27,97.84,64.46,79.42,1.00,27.00,18.52,66.67,29.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,11.11,3.70,3.70,3.70,0.00,7.41,0.00,0.00,0.00,0.00,3.70,3.70,0.00,3.70,0.00,3.70,0.00,3.70,0.00,0.00,3.70,0.00,7.41,0.00,0.00,0.00,3.70,3.70,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,3.70,0.00,3.70,0.00,0.00,3.70,0.00,0.00,7.41,0.00,3.70,25.93,0.00,14.81,11.11,0.00,0.00,3.70,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,25.93,7.41,0.00,0.00,3.70,0.00,0.00,0.00,0.00,3.70,0.00,11.11
1034052593415348224.txt,1,25,63.83,50.00,20.24,25.77,12.50,12.00,56.00,32.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,8.00,4.00,0.00,4.00,8.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,52.00,28.00,0.00,0.00,0.00,4.00,0.00,0.00,8.00,4.00,0.00,8.00
1034068647080161280.txt,1,26,88.90,12.43,83.83,89.84,6.50,11.54,69.23,26.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,7.69,7.69,0.00,3.85,3.85,15.38,11.54,7.69,0.00,0.00,3.85,3.85,3.85,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,3.85,0.00,11.54,15.38,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,3.85,3.85,0.00,0.00,7.69,3.85,15.38,0.00,11.54,3.85,7.69,3.85,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,30.77,7.69,0.00,0.00,0.00,0.00,7.69,3.85,0.00,3.85,0.00,7.69
1034120053795381248.txt,1,27,98.87,50.00,33.94,25.77,13.50,18.52,51.85,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,14.81,3.70,0.00,3.70,0.00,7.41,7.41,3.70,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,3.70,0.00,0.00,7.41,0.00,0.00,18.52,0.00,11.11,7.41,7.41,0.00,0.00,0.00,0.00,0.00,7.41,0.00,3.70,0.00,0.00,3.70,29.63,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,7.41,7.41
1034420792119898112.txt,1,21,99.00,50.00,37.24,1.00,21.00,33.33,47.62,23.81,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,14.29,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,4.76,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,19.05,0.00,19.05,0.00,4.76,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,42.86,14.29,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,23.81
1034446155713630208.txt,1,27,46.37,35.54,58.07,1.00,27.00,11.11,55.56,44.44,11.11,3.70,0.00,3.70,0.00,0.00,0.00,7.41,3.70,7.41,7.41,3.70,7.41,3.70,7.41,0.00,0.00,3.70,0.00,0.00,3.70,0.00,3.70,3.70,0.00,0.00,3.70,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,3.70,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,3.70,0.00,3.70,0.00,0.00,0.00,7.41,0.00,14.81,0.00,11.11,3.70,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,22.22,7.41,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41
1034452398863835137.txt,1,27,56.91,35.54,33.94,1.00,13.50,14.81,66.67,33.33,7.41,0.00,0.00,0.00,0.00,0.00,0.00,7.41,3.70,7.41,3.70,3.70,7.41,7.41,7.41,11.11,3.70,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,11.11,0.00,0.00,0.00,7.41,7.41,0.00,0.00,0.00,0.00,0.00,7.41,7.41,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,3.70,0.00,0.00,3.70,3.70,0.00,11.11,0.00,7.41,3.70,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,7.41,0.00,0.00,0.00,22.22,11.11,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41
1034648496148758528.txt,1,28,68.29,50.00,30.01,25.77,9.33,21.43,64.29,50.00,17.86,7.14,3.57,0.00,3.57,0.00,0.00,10.71,3.57,14.29,10.71,0.00,3.57,0.00,14.29,3.57,0.00,3.57,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,3.57,0.00,0.00,3.57,3.57,0.00,3.57,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,3.57,0.00,0.00,0.00,21.43,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14
1034817812399673345.txt,1,22,99.00,50.00,61.34,25.77,22.00,27.27,63.64,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,13.64,4.55,0.00,0.00,0.00,4.55,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,0.00,0.00,0.00,4.55,0.00,22.73,0.00,18.18,4.55,13.64,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,22.73,9.09,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09
1035123377013448704.txt,1,26,97.95,97.24,1.00,25.77,13.00,15.38,69.23,38.46,7.69,3.85,0.00,3.85,0.00,0.00,0.00,3.85,11.54,11.54,3.85,3.85,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,3.85,3.85,0.00,3.85,0.00,15.38,0.00,3.85,0.00,0.00,7.69,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,15.38,11.54,0.00,3.85,0.00,0.00,0.00,7.69,0.00,7.69,0.00,7.69,0.00,3.85,0.00,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,26.92,7.69,7.69,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,7.69
1035365054214955008.txt,1,13,82.82,50.00,1.40,1.00,6.50,15.38,46.15,23.08,7.69,7.69,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,7.69,0.00,0.00,0.00,46.15,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,23.08
1035421430010105856.txt,1,25,99.00,78.82,6.70,1.00,12.50,8.00,52.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,12.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,16.00,0.00,8.00,0.00,8.00,4.00,4.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,4.00,8.00,4.00,0.00,4.00,0.00,0.00,0.00,40.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,20.00
1036578308840931328.txt,1,27,89.09,93.07,1.22,25.77,9.00,14.81,59.26,25.93,11.11,7.41,3.70,0.00,0.00,3.70,0.00,3.70,3.70,7.41,0.00,0.00,3.70,0.00,7.41,3.70,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.52,0.00,0.00,3.70,7.41,3.70,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,3.70,3.70,0.00,3.70,14.81,3.70,3.70,7.41,3.70,0.00,3.70,3.70,0.00,7.41,3.70,3.70,0.00,3.70,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,40.74,18.52,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,7.41,11.11
1036818634763644928.txt,1,24,93.26,50.00,7.84,1.00,12.00,20.83,62.50,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,12.50,12.50,0.00,4.17,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,4.17,8.33,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,4.17,0.00,0.00,0.00,37.50,20.83,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
1036831992984158208.txt,1,23,88.21,33.19,54.89,1.00,11.50,17.39,56.52,21.74,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,4.35,4.35,0.00,4.35,4.35,0.00,0.00,0.00,0.00,4.35,0.00,4.35,13.04,0.00,13.04,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00,13.04,0.00,0.00,0.00,0.00,0.00,17.39,0.00,13.04,4.35,4.35,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,30.43,13.04,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,8.70
1036871508960989184.txt,1,24,96.33,79.76,1.00,99.00,12.00,20.83,50.00,20.83,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,8.33,4.17,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,4.17,8.33,8.33,0.00,0.00,8.33,0.00,4.17,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,37.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50
1036960348295716864.txt,1,27,96.08,35.54,33.94,25.77,27.00,11.11,37.04,25.93,7.41,3.70,3.70,0.00,0.00,0.00,0.00,3.70,0.00,14.81,3.70,0.00,0.00,0.00,7.41,0.00,0.00,3.70,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,3.70,0.00,0.00,7.41,0.00,14.81,0.00,14.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,25.93,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,14.81
1036979607197470721.txt,1,23,96.43,90.38,9.25,93.61,11.50,34.78,56.52,26.09,4.35,4.35,0.00,0.00,0.00,4.35,0.00,0.00,4.35,13.04,4.35,4.35,0.00,0.00,8.70,4.35,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,0.00,0.00,4.35,0.00,4.35,4.35,0.00,17.39,4.35,13.04,0.00,4.35,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,26.09,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,8.70
